"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Escenario: Detalle de producto coincide con datos de la API
    Esperado:  El nombre y precio mostrados en UI coinciden con 'name' y 'price' de GET /products/{id}; status 200
    Impacto:   Si falla, el cliente puede ver datos incorrectos del producto y tomar decisiones de compra erróneas
    Accion:    Revisar el mapeo de la respuesta API al componente de detalle y verificar el endpoint de producto
    ","0","test_tc05a_detalle_coincide_con_api","tests","Sun May 10 18:12:06 UTC 2026","broken","Sun May 10 18:12:06 UTC 2026","","test_detalle","",""
"
    Escenario: Botón 'Añadir al carrito' deshabilitado para producto agotado
    Esperado:  Se muestra la etiqueta 'Out of stock' y el botón está deshabilitado
    Impacto:   Si falla, el usuario puede intentar comprar un producto sin stock y generará errores en el pedido
    Accion:    Verificar que la UI respeta el campo 'in_stock' de la API para deshabilitar el botón correctamente
    ","0","test_tc06b_boton_deshabilitado_sin_stock","tests","Sun May 10 18:12:06 UTC 2026","broken","Sun May 10 18:12:06 UTC 2026","","test_detalle","",""
"
    Escenario: Categorías del producto coinciden entre UI y API
    Esperado:  Los tags de categoría visibles en la UI coinciden con el campo 'categories' de GET /products/{id}
    Impacto:   Si falla, el usuario ve etiquetas de categoría incorrectas que confunden la navegación del catálogo
    Accion:    Verificar que el componente de detalle muestra todas las categorías devueltas por la API
    ","0","test_tc05b_categorias_coinciden_entre_ui_y_api","tests","Sun May 10 18:12:06 UTC 2026","broken","Sun May 10 18:12:06 UTC 2026","","test_detalle","",""
"
    Escenario: Búsqueda exitosa por nombre exacto
    Esperado:  Se muestran productos con 'Pliers' en el nombre, status API 200 y el total UI coincide con la API
    Impacto:   Si falla, el usuario no puede encontrar productos por nombre exacto y el catálogo es inusable
    Accion:    Verificar que el endpoint GET /products?search= responde correctamente y el frontend actualiza el grid
    ","0","test_tc01a_busqueda_nombre_exacto","tests","Sun May 10 18:11:31 UTC 2026","broken","Sun May 10 18:11:31 UTC 2026","","test_busqueda","",""
"
    Escenario: Búsqueda con campo vacío no ejecuta búsqueda
    Esperado:  No ocurre ninguna acción visible; los productos originales permanecen sin cambios
    Impacto:   Si falla, el usuario podría ver un estado inconsistente del catálogo al dejar el campo vacío
    Accion:    Verificar que el botón 'Search' no dispara la llamada API cuando el campo está vacío
    ","0","test_tc02b_busqueda_campo_vacio","tests","Sun May 10 18:12:03 UTC 2026","broken","Sun May 10 18:12:03 UTC 2026","","test_busqueda","",""
"
    Escenario: Búsqueda con solo espacios muestra 0 resultados
    Esperado:  Se muestra el mensaje de 'sin resultados' y el contador indica 0 para ' '
    Impacto:   Si falla, búsquedas con espacios podrían retornar todos los productos o causar error
    Accion:    Verificar que el backend trata la búsqueda de espacios como término vacío sin resultados
    ","0","test_tc02c_busqueda_solo_espacios","tests","Sun May 10 18:12:03 UTC 2026","broken","Sun May 10 18:12:03 UTC 2026","","test_busqueda","",""
"
    Escenario: Filtrar por una categoría aplica el filtro automáticamente
    Esperado:  Al marcar 'Other' se muestran 15 productos en 2 páginas sin necesidad de botón; la API retorna solo esa categoría
    Impacto:   Si falla, los usuarios no pueden acotar el catálogo por categoría y ven todos los productos siempre
    Accion:    Revisar el event listener del checkbox y la llamada al endpoint con by_category_slug
    ","0","test_tc03a_filtrar_por_categoria_other","tests","Sun May 10 18:12:07 UTC 2026","broken","Sun May 10 18:12:07 UTC 2026","","test_filtros","",""
"
    Escenario: Seleccionar múltiples categorías acumula los resultados
    Esperado:  Los productos de ambas categorías se combinan y el total suma los de cada una individualmente
    Impacto:   Si falla, seleccionar varias categorías puede mostrar menos productos de los esperados o ninguno
    Accion:    Verificar que el backend usa OR (no AND) para combinar múltiples filtros de categoría
    ","0","test_tc04a_multiples_categorias_acumulan_resultados","tests","Sun May 10 18:12:07 UTC 2026","broken","Sun May 10 18:12:07 UTC 2026","","test_filtros","",""
"
    Escenario: Carrito muestra mensaje de vacío al eliminar el último producto
    Esperado:  Al eliminar el único producto, aparece toast, se muestra mensaje de 'carrito vacío' y el badge vuelve a 0
    Impacto:   Si falla, el usuario puede ver un carrito vacío sin feedback claro o con datos obsoletos
    Accion:    Verificar que el componente de carrito muestra el estado vacío cuando 'data' es [] y el badge se resetea a 0
    ","0","test_tc11a_carrito_vacio_al_eliminar_ultimo_producto","tests","Sun May 10 18:12:05 UTC 2026","broken","Sun May 10 18:12:05 UTC 2026","","test_carrito","",""
"
    Escenario: Desmarcar categoría restaura todos los productos
    Esperado:  Al desmarcar 'Other', el catálogo vuelve a mostrar todos los productos sin filtro activo
    Impacto:   Si falla, el usuario queda atrapado en el filtro sin poder volver al catálogo completo
    Accion:    Verificar que el evento de desmarcado envía la petición sin filtro de categoría
    ","0","test_tc03b_desmarcar_categoria_restaura_todos","tests","Sun May 10 18:12:07 UTC 2026","broken","Sun May 10 18:12:07 UTC 2026","","test_filtros","",""
